Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: 3161.4   ID: 100060291
Report Date: Thu May 21 10:12:01 2026

Location: 40.250771 -111.658446
Street: PROVO - UNIVERSITY AVE & 1230N   City/St: 3161; 4-TSC CCTV   Pole #: LONG111658422
Desc: LAT. 40.250826   Splice#: 3161.4


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  56,SL,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  56,SL,BK,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  57,SL,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  57,SL,YL,3105.2,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  58,SL,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  58,SL,VI,3105.2,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  59,SL,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  59,SL,RO,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  60,SL,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  60,SL,AQ,3111.4,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  61,WH,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  61,WH,BL,SPOREM@UNPKWY&800E.,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  62,WH,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  62,WH,OR,SPOREM@UNPKWY&800E.,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  63,WH,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  63,WH,GR,SPOREM@UNPKWY&800E.,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  64,WH,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  64,WH,BR,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  65,WH,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  65,WH,SL,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  66,WH,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  66,WH,WH,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  67,WH,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  67,WH,RD,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  68,WH,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  68,WH,BK,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  69,WH,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  69,WH,YL,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  70,WH,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  70,WH,VI,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  71,WH,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  71,WH,RO,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  72,WH,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  72,WH,AQ,3115.3,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  73,RD,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  73,RD,BL,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  74,RD,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  74,RD,OR,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  75,RD,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  75,RD,GR,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  76,RD,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  76,RD,BR,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  77,RD,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  77,RD,SL,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  78,RD,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  78,RD,WH,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  79,RD,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  79,RD,RD,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  80,RD,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  80,RD,BK,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  81,RD,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  81,RD,YL,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  82,RD,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  82,RD,VI,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  83,RD,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  83,RD,RO,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  84,RD,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  84,RD,AQ,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  85,BK,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  85,BK,BL,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  86,BK,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  86,BK,OR,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  87,BK,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  87,BK,GR,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  88,BK,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  88,BK,BR,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  89,BK,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  89,BK,SL,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  90,BK,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  90,BK,WH,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  91,BK,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  91,BK,RD,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  92,BK,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  92,BK,BK,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  93,BK,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  93,BK,YL,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  94,BK,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  94,BK,VI,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  95,BK,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  95,BK,RO,3164.1,
SP-3256.5,96-SMF US-189: BULLDOG TO CANYON RD,  96,BK,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  96,BK,AQ,3164.1,


Right ---

3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,   1,BL,BL,<->,1230 N DIST,   1,BL,BL,3158.2.3,
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,   2,BL,OR,<->,1230 N DIST,   2,BL,OR,HUB3-6(PROVO_TCC_1325S&350E),CH 3148
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,   3,BL,GR,<->,1230 N DIST,   3,BL,GR,HUB3-6(PROVO_TCC_1325S&350E),CH 3176
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,   4,BL,BR,<->,1230 N DIST,   4,BL,BR,HUB3-6(PROVO_TCC_1325S&350E),CH 3176
HUB3-10(PROVO_CANYON),96-SMF US-189: 1450 N TO BULLDOG AVE,   5,BL,SL,<->,1230 N DIST,   5,BL,SL,HUB3-6(PROVO_TCC_1325S&350E),CH 3158
HUB3-10(PROVO_CANYON),96-SMF US-189: 1450 N TO BULLDOG AVE,   6,BL,WH,<->,1230 N DIST,   6,BL,WH,HUB3-6(PROVO_TCC_1325S&350E),CH 3158
HUB3-10(PROVO_CANYON),96-SMF US-189: 1450 N TO BULLDOG AVE,   7,BL,RD,<->,1230 N DIST,   7,BL,RD,HUB3-6(PROVO_TCC_1325S&350E),CH 3160
