Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Full  Name: I-215&4700S   ID: 100032993
Report Date: Thu May 21 12:55:38 2026

Location: 40.668017 -111.953474
Street: TAYLORSVILLE   City/St:    Pole #: 
Desc:    Splice#: I-215&4700S


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

I-215&4100S,288-SMF DIST I-215: 4700 S - COMPLEX,  49,SL,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  49,SL,BL,SP2123.1,
I-215&4100S,288-SMF DIST I-215: 4700 S - COMPLEX,  50,SL,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  50,SL,OR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  51,SL,GR,<->,DIST72I-215W SP2301.5 TO 4700S,  51,SL,GR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  52,SL,BR,<->,DIST72I-215W SP2301.5 TO 4700S,  52,SL,BR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  53,SL,SL,<->,DIST72I-215W SP2301.5 TO 4700S,  53,SL,SL,HUB_2-17,[DTS] DABS 26,[DTS] DABS 26
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  54,SL,WH,<->,DIST72I-215W SP2301.5 TO 4700S,  54,SL,WH,HUB_2-17,[DTS] DABS 26,[DTS] DABS 26
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  55,SL,RD,<->,DIST72I-215W SP2301.5 TO 4700S,  55,SL,RD,HUB2-8(I-215&700_W),CH 2199
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  56,SL,BK,<->,DIST72I-215W SP2301.5 TO 4700S,  56,SL,BK,HUB2-8(I-215&700_W),CH 2199
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  57,SL,YL,<->,DIST72I-215W SP2301.5 TO 4700S,  57,SL,YL,HUB2-12(I-15&BANGERTER),CH 2214
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  58,SL,VI,<->,DIST72I-215W SP2301.5 TO 4700S,  58,SL,VI,HUB2-12(I-15&BANGERTER),CH 2214
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  59,SL,RO,<->,DIST72I-215W SP2301.5 TO 4700S,  59,SL,RO,HUB2-7(9000_S),CH 2710
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  60,SL,AQ,<->,DIST72I-215W SP2301.5 TO 4700S,  60,SL,AQ,HUB2-7(9000_S),CH 2710
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  61,WH,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  61,WH,BL,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  62,WH,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  62,WH,OR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  65,WH,SL,<->,DIST 18 4700 S W I-215,  11,OR,SL,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  66,WH,WH,<->,DIST 18 4700 S W I-215,  12,OR,WH,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  67,WH,RD,<->,DIST72I-215W SP2301.5 TO 4700S,  67,WH,RD,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  68,WH,BK,<->,DIST72I-215W SP2301.5 TO 4700S,  68,WH,BK,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  69,WH,YL,<->,DIST 18 4700 S W I-215,  15,GR,GR,HUB2-8(I-215&700_W),CH 2129
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  70,WH,VI,<->,DIST 18 4700 S W I-215,  16,GR,BR,HUB2-8(I-215&700_W),CH 2129
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  71,WH,RO,<->,DIST 18 4700 S W I-215,  17,GR,SL,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  72,WH,AQ,<->,DIST 18 4700 S W I-215,  18,GR,WH,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  73,RD,BL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,BL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  74,RD,OR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,OR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  75,RD,GR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,GR,HUB2-8(I-215&700_W),[HORROCKS] 2-08 - 2-09
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  76,RD,BR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,BR,HUB2-8(I-215&700_W),[HORROCKS] 2-08 - 2-09
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  77,RD,SL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,SL,HUB2-8(I-215&700_W),[ATMS BB] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  78,RD,WH,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,WH,HUB2-8(I-215&700_W),[ATMS BB] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  79,RD,RD,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,RD,HUB2-8(I-215&700_W),[UTOPIA] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  80,RD,BK,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,BK,HUB2-8(I-215&700_W),[UTOPIA] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  81,RD,YL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,YL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  82,RD,VI,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,VI,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  83,RD,RO,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,RO,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  84,RD,AQ,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,AQ,HUB2-8(I-215&700_W),[ADTRAN] [I-215 BELT] 2-08 - 2-10
HUB2-5(DAVIS_RD),288-SMF DIST I-215: 4700 S - COMPLEX,  85,BK,BL,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,BL,HUB2-8(I-215&700_W),[DTS] DNR FIRE & JJS ON 3300S
HUB2-5(DAVIS_RD),288-SMF DIST I-215: 4700 S - COMPLEX,  86,BK,OR,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,OR,HUB2-8(I-215&700_W),[DTS] DNR FIRE & JJS ON 3300S
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  87,BK,GR,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,GR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  88,BK,BR,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,BR,HUB2-8(I-215&700_W),
DNR_FIRE_RESPONSE_CENTER,288-SMF DIST I-215: 4700 S - COMPLEX,  89,BK,SL,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,SL,HUB2-8(I-215&700_W),[DTS] SLC DNR
DNR_FIRE_RESPONSE_CENTER,288-SMF DIST I-215: 4700 S - COMPLEX,  90,BK,WH,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,WH,HUB2-8(I-215&700_W),[DTS] SLC DNR
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  91,BK,RD,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,RD,HUB2-8(I-215&700_W),[DTS BB] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  92,BK,BK,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,BK,HUB2-8(I-215&700_W),[DTS BB] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  93,BK,YL,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,YL,HUB2-8(I-215&700_W),[DTS BB] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  94,BK,VI,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,VI,HUB2-8(I-215&700_W),[DTS BB] 2-08 - 2-10
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  95,BK,RO,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,RO,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  96,BK,AQ,<->,48-SMF BB: HUB 2-08 - 2-10, ,OR,AQ,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX,  97,YL,BL,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,BL,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX,  98,YL,OR,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,OR,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX,  99,YL,GR,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,GR,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 100,YL,BR,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,BR,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 101,YL,SL,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,SL,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 102,YL,WH,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,WH,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 103,YL,RD,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,RD,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 104,YL,BK,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,BK,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 105,YL,YL,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,YL,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 106,YL,VI,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,VI,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 107,YL,RO,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,RO,HUB2-8(I-215&700_W),
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 108,YL,AQ,<->,48-SMF BB: HUB 2-08 - 2-10, ,GR,AQ,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 109,VI,BL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,BL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 110,VI,OR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,OR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 111,VI,GR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,GR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 112,VI,BR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,BR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 113,VI,SL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,SL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 114,VI,WH,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,WH,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 115,VI,RD,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,RD,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 116,VI,BK,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,BK,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 117,VI,YL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,YL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 118,VI,VI,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,VI,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 119,VI,RO,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,RO,HUB2-8(I-215&700_W),[ATMS] CALVIN RAMPTON COMPLEX
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX, 120,VI,AQ,<->,48-SMF BB: HUB 2-08 - 2-10, ,BR,AQ,HUB2-8(I-215&700_W),[ATMS] CALVIN RAMPTON COMPLEX
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 277,AQ-BK,BL,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,RO, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 278,AQ-BK,OR,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,AQ, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 279,AQ-BK,GR,<->,24-SMF DIST ALONG I-215 RAMPS, ,OR,GR, ,[DTS] TSOB EAST-SOUTH - SLCC
TSOB,288-SMF DIST I-215: 4700 S - COMPLEX, 280,AQ-BK,BR,<->,24-SMF DIST ALONG I-215 RAMPS, ,OR,BR, ,[DTS] TSOB EAST-SOUTH - SLCC
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   1,BL,BL,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,BL, ,CH 2098
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   2,BL,OR,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,OR, ,CH 2098
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   3,BL,GR,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,GR, ,CH 2099
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   4,BL,BR,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,BR, ,CH 2099
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   5,BL,SL,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,SL, ,CH 2100
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   6,BL,WH,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,WH, ,CH 2100
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   7,BL,RD,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,RD, ,CH 2102
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   8,BL,BK,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,BK, ,CH 2102
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,   9,BL,YL,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,YL, ,
HUB2-2(3900S),24-SMF DIST ALONG I-215 RAMPS,  10,BL,VI,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,GR,VI, ,
SLCC_BUILDING_(UETN),24-SMF DIST ALONG I-215 RAMPS,  11,BL,RO,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,AQ-BK,BL, ,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),24-SMF DIST ALONG I-215 RAMPS,  12,BL,AQ,<->,288-SMF DIST I-215: 4700 S - COMPLEX, ,AQ-BK,OR, ,[DTS] TSOB EAST-SOUTH - SLCC
